Company,Paddle,Core Thickness (mm),Retail Price,Discount,Discounted Price,Model State,Stock State,Stock Count,Certification Status,Warranty,Shape,Build,Manufacturing Process,Surface Texture,Surface Layup,Core Type,Spin RPI,Spin Category,Length (in),Width (in),Handle Length (in),Static Weight (oz),Swing Weight,Twist Weight,Balance Point (cm),Firepower (0-100)
Vatic Pro,Bloom Prism,16.0,$105.25,19%,$85.25,Live,In Stock,78,USAP certified,6 months,Widebody,Gen-2,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,175",Good,16.0,8.0,5.5,8.0,112.7,7.25,23.8,33
Diadem,Edge BluCore Hybrid,16.0,$268.43,49%,$136.90,Obsolete,Extinct,0,USAP certified,Lifetime,Hybrid,Gen-4,Thermoformed,Peel Ply-Coarse,18K Toray Carbon Fiber,Full-Foam (EPP with EVA border),2092,Fair,16.22,7.76,5.71,8.0,112.7,6.71,23.7,78
11SIX24,Vapor Jelly Bean,16.0,$94.66,39%,$57.74,Live,In Stock,24,USAP certified,1 year,Hybrid,Gen-2,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber & Fiberglass,Polypropylene Honeycomb,2198,Good,16.14,7.76,5.71,8.0,115.0,6.8,24.2,58
Holbrook,Pro - Aero Metallic T,16.0,$218.80,46%,$118.15,Live,In Stock,134,USAP certified,1 year,Elongated,Gen-2,Thermoformed-edgeless,Peel Ply-Coarse,Carbon Fiber & PET Electroplated Fiber,Polypropylene Honeycomb,"1,941",Fair,16.46,7.52,5.5,8.1,120.7,5.86,24.2,52
Gentle Booms Sports,GBS-001,11.0,$52.91,33%,$35.45,Live,In Stock,44,USAP certified,1 year,Widebody,Gen-1,Cold Pressed,Grit,Aluminum,Aluminum Honeycomb,"1,493",Poor,15.7,7.8,5.0,8.5,115.0,6.65,23.1,0
Gearbox,G2 Integra,14.0,$129.53,48%,$67.36,Live,In Stock,15,USAP certified,1 year,Hybrid,Gen-2,Thermoformed-edgeless,Grit,Carbon Fiber; Fiberglass,Polypropylene Honeycomb,"2,113",Good,16.0,7.38,5.5,7.9,113.3,5.64,24.5,16
Engage,Evolution Extreme V2.14,14.0,$171.96,22%,$134.13,Live,In Stock,65,USAP certified,Lifetime,Elongated,Gen-1,Cold Pressed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,1915,Fair,16.5,7.5,5.25,8.0,117.7,6.38,24.4,28
CRBN,TruFoam Waves 1,14.0,$252.85,7%,$235.15,Attrition,In Stock,29,Dual certified - USAP and UPA-A,1 year,Elongated,Gen-4,Cold Pressed,Peel Ply-Coarse,T700 Carbon Fiber,Foam,2232,Good,16.69,7.36,5.91,7.9,118.5,5.74,24.5,76
Versix,Vector,15.0,$118.94,39%,$72.55,Live,In Stock,54,Dual certified - USAP and UPA-A,1 year,Elongated,Gen-2,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"2,103",Good,16.5,7.5,6.0,8.4,122.2,6.93,24.3,67
Selkirk,LABS 008 Tour,13.0,$299.10,32%,$203.39,Live,In Stock,15,Dual certified - USAP and UPA-A,2 year,Elongated,Gen-4,Cold Pressed,Peel Ply-Coarse,T700 Carbon Fiber,Full foam,"2,050",Fair,16.45,7.5,6.0,8.0,121.6,5.38,23.8,54
Core,Reaction Pro Elongated,16.0,$133.97,19%,$108.52,Live,In Stock,64,USAP certified,3 months,Elongated,Gen-1,Cold Pressed,Peel Ply-Fine,T700 Carbon Fiber,Polypropylene Honeycomb,1863,Poor,16.5,7.38,5.8,8.2,125.4,6.03,24.8,30
Six Zero,Quartz,15.0,$92.27,44%,$51.67,Obsolete,Extinct,0,USAP certified,1 year,Widebody,Gen-1,Cold Pressed,Peel Ply-Coarse,Carbon Fiber,Polypropylene Honeycomb,"1,925",Fair,16.0,7.9,5.0,7.9,107.8,6.43,23.6,20
Pickleball Apes,Harmony X,16.0,$181.43,3%,$175.99,Attrition,In Stock,66,USAP certified,1 year,Widebody,Gen-3,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Honeycomb polypropylene + foam,"2,134",Good,16.65,7.44,5.5,8.1,123.5,,,58
Adidas,AdiPower Pro-ATTK,14.0,$207.80,37%,$130.91,Live,In Stock,72,Dual certified - USAP and UPA-A,1 year,Elongated,Gen-3,Thermoformed,Peel Ply-Coarse,Carbon Fiber,Honeycomb polypropylene + foam,,Poor,16.46,7.48,5.55,8.0,123.3,6.62,24.5,0
Ace,Spade,16.0,$210.40,35%,$136.76,Live,In Stock,27,USAP certified,90 day,Elongated,Gen-2,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,2178,Good,16.54,7.44,5.51,8.0,119.4,6.28,24.6,58
CRBN,CRBN 2X,16.0,$238.91,45%,$131.40,Live,In Stock,54,USAP certified,1 year,Widebody,Gen-2,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,1975,Fair,15.75,8.0,4.75,8.0,110.0,7.5,23.5,48
Gamma,Obsidian 16,16.0,$145.79,18%,$119.55,Live,In Stock,77,USAP certified,1 year,Elongated,Gen-2,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"1,877",Poor,16.38,7.63,5.75,8.1,119.6,6.46,24.5,42
Gearbox,GX2 Power Elongated,16.0,$281.74,28%,$202.85,Live,In Stock,48,USAP certified,1 year,Elongated,Gen-3,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Carbon fiber + foam,"2,208",Good,16.65,7.17,5.5,8.0,117.5,6.23,24.7,82
Ronbus,Pulsar R3,16.0,$168.30,30%,$117.81,Live,In Stock,64,USAP certified,6 months,Elongated,Gen-2,Thermoformed,Peel Ply-Fine,Toray Carbon Fiber,Polypropylene Honeycomb,"1,970",Fair,16.5,7.5,5.5,8.3,125.0,6.47,23.8,43
Spartus,Odyssey Apex,16.0,$90.07,46%,$48.64,Live,In Stock,74,USAP certified,6 months,Elongated,Gen-1,Cold Pressed,Peel Ply-Coarse,Carbon Fiber,Wide cell polypropylene,"2,130",Good,16.38,7.8,5.35,7.9,111.9,6.43,23.8,57
11SIX24,Vapor Power,16.0,$174.68,23%,$134.50,Live,In Stock,13,USAP certified,6 months,Hybrid,Gen-3,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber and Fiberglass,Honeycomb polypropylene + foam,2174,Good,16.14,7.76,5.71,8.2,115.8,7.01,23.9,71
Selkirk,SLK ERA Widebody,16.0,$198.61,14%,$170.80,Live,In Stock,39,USAP certified,6 months,Widebody,Gen-3,Thermoformed,Peel Ply-Coarse,Carbon Fiber,Polypropylene + foam,"2,203",Good,15.98,7.98,5.75,8.1,112.2,7.05,23.7,69
Franklin,Tour Tempo,16.0,$148.24,17%,$123.04,Live,In Stock,24,Dual certified - USAP and UPA-A,1 year,Widebody,Gen-2,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,2094,Fair,15.9,8.0,5.0,8.9,122.0,7.5,23.5,53
Vatic Pro,Saga Flash,16.0,$163.85,35%,$106.50,Attrition,In Stock,57,USAP certified,6 months,Hybrid,Gen-2,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,157",Good,16.3,7.7,5.3,8.3,116.8,6.67,24.0,54
Volair,Mach 1 Forza,14.0,$169.16,19%,$137.02,Live,In Stock,76,USAP certified,6 months,Elongated,Gen-2,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"2,332",Elite,16.5,7.5,5.5,7.8,111.0,6.16,23.9,27
Pickleball Apes,Harmony S,16.0,$195.24,18%,$160.10,Live,In Stock,41,USAP certified,1 year,Widebody,Gen-3,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Honeycomb polypropylene + foam,"2,174",Good,16.38,7.56,5.5,8.0,114.6,6.43,24.0,52
Gearbox,CX14H Ultimate Power,14.0,$239.75,49%,$122.27,Live,In Stock,87,USAP certified,1 year,Widebody,Gen-2,Thermoformed-edgeless,Grit,3K Woven Carbon Fiber,Toray T700 Carbon Fiber,"1,962",Fair,15.6,8.0,5.38,8.5,107.0,5.78,22.0,7
ProDrive,Ghost,16.0,$170.41,43%,$97.13,Live,In Stock,92,USAP certified,6 months,Elongated,Gen-2,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Kevlar,"1,817",Poor,16.4,7.6,5.3,8.0,117.0,6.73,23.9,50
Six Zero,Infinity Double Black Diamond,16.0,$238.07,37%,$149.98,Live,In Stock,109,USAP certified,1 year,Hybrid,Gen-2,Thermoformed-edgeless,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,077",Fair,16.3,7.7,5.5,8.1,110.0,5.8,23.2,30
Honolulu Pickleball Co.,J2K,16.0,$163.55,12%,$143.92,Live,In Stock,78,USAP certified,1 year,Hybrid,Gen-2,Thermoformed,Peel Ply-Coarse,Dupont Kevlar,Polypropylene Honeycomb,"2,101",Good,16.2,7.8,5.3,8.2,115.4,7.0,23.7,58
11SIX24,Hurache-X Power,16.0,$174.63,31%,$120.49,Attrition,In Stock,59,USAP certified,1 year,Elongated,Gen-3,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber and Fiberglass,Honeycomb polypropylene + foam,2157,Good,16.46,7.56,5.91,8.1,115.2,6.21,23.7,71
Engage,Pursuit Pro 1-Light,13.0,$273.90,34%,$180.77,Live,In Stock,25,USAP certified,Lifetime,Elongated,Gen-1,Cold Pressed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,2178,Good,16.5,7.5,5.88,7.7,109.5,5.57,23.3,57
Volair,Mach 1,16.0,$151.28,32%,$102.87,Live,In Stock,25,USAP certified,6 months,Elongated,Gen-1,Cold Pressed,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"2,002",Fair,16.5,7.5,5.5,7.7,110.0,5.72,24.0,16
JOOLA,Scorpeus 3S,16.0,$217.56,18%,$178.40,Attrition,In Stock,89,Dual certified - USAP and UPA-A,1 year,Widebody,Gen-3,Thermoformed,Peel Ply-Coarse,Carbon Fiber,Honeycomb polypropylene + foam,"2,213",Good,16.0,8.0,5.25,8.0,111.6,7.0,23.9,73
Vatic Pro,Saga Flash 16,16.0,$119.33,15%,$101.43,Obsolete,Extinct,7,USAP certified,6 months,Hybrid,Gen-2,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Wide cell polypropylene,"2,146",Good,16.18,7.68,5.3,8.4,117.4,6.74,24.3,72
Engage,Pursuit MX Pro,13.0,$244.43,39%,$149.10,Attrition,In Stock,13,USAP certified,Lifetime,Elongated,Gen-1,Cold Pressed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,2264,Good,16.5,7.5,5.75,8.0,119.3,5.85,24.1,66
Gamma,Obsidian 13,13.0,$160.98,46%,$86.93,Live,In Stock,75,USAP certified,1 year,Elongated,Gen-2,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"1,854",Poor,16.38,7.63,5.75,7.9,112.2,6.0,23.8,43
JOOLA,Perseus Pro IV,16.0,$303.13,47%,$160.66,Live,In Stock,93,Dual certified - USAP and UPA-A,1 year,Elongated,Gen-3,Thermoformed,Peel Ply-Coarse,Carbon Fiber,Honeycomb polypropylene + foam,"2,112",Good,16.46,7.36,5.5,8.1,117.3,6.31,24.4,82
Volair,Mach 2,16.0,$146.89,17%,$121.92,Live,In Stock,53,USAP certified,6 months,Widebody,Gen-1,Cold Pressed,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"2,329",Elite,15.88,8.12,5.5,8.0,107.2,6.9,23.4,39
Volair,Alto,14.0,$92.81,48%,$48.26,Live,Low Stock,4,USAP certified,6 months,Elongated,Gen-1,Cold Pressed,Grit,Fiberglass,Polypropylene Honeycomb,"1,798",Poor,16.5,7.5,5.5,7.7,110.3,5.75,24.0,28
Neonic,Flow,16.0,$124.18,20%,$99.34,Live,In Stock,92,USAP certified,6 months,Hybrid,Gen-2,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,310",Elite,16.25,7.63,5.5,8.1,116.3,6.53,23.9,40
CRBN,TruFoam Genesis 2,14.0,$272.47,40%,$163.48,Live,In Stock,60,Dual certified - USAP and UPA-A,1 year,Widebody,Gen-4,Cold Pressed,Peel Ply-Coarse,T700 Carbon Fiber,Foam,2338,Elite,16.0,7.85,5.3,8.2,112.9,6.76,23.8,70
Luzz,Pro-4 Inferno,16.0,$211.76,18%,$173.64,Attrition,In Stock,55,Dual certified - USAP and UPA-A,1 year,Elongated,Gen-4,Thermoformed,Peel Ply-Coarse,Carbon Fiber,Full-Foam (MPP with EVA border),"2,256",Good,16.54,7.48,5.75,7.8,117.4,6.07,24.4,85
JOOLA,Scorpeus Pro IV,16.0,$284.68,41%,$167.96,Attrition,In Stock,60,Dual certified - USAP and UPA-A,1 year,Widebody,Gen-3,Thermoformed,Peel Ply-Coarse,Carbon Fiber,Honeycomb polypropylene + foam,"2,198",Good,15.94,7.99,5.31,8.3,112.5,7.25,23.7,75
Spartus,Olympus,14.0,$206.98,24%,$157.30,Live,In Stock,38,USAP certified,6 months,Hybrid,Gen-3,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Foam-filled polypropylene honeycomb,"2,058",Fair,16.35,7.65,5.5,8.0,110.5,6.13,23.5,73
Holbrook,Arma Metallic-T,14.0,$270.36,31%,$186.55,Attrition,In Stock,89,USAP certified,1 year,Elongated,Gen-3,Thermoformed,Peel Ply-Coarse,Carbon Fiber & PET Electroplated Fiber,Dual density polypropylene honeycomb + foam,"2,133",Good,16.42,7.56,5.5,8.0,118.2,6.15,24.2,86
Adidas,Metalbone LP Team (Blue EVA),16.0,$222.54,45%,$122.40,Live,In Stock,85,,1 year,Elongated,Gen-4,Thermoformed,Grit,Carbon Fiber,EVA foam with carbon fiber stringers,2134,Good,16.42,7.52,5.5,8.0,115.2,5.25,24.3,94
Proton,Series One-Type A,11.0,$258.53,2%,$253.36,Live,In Stock,45,Dual certified - USAP and UPA-A,1 year,Widebody,Gen-1,Cold Pressed,NanoTac,Carbon Fiber,Polypropylene Honeycomb,"2,112",Good,15.75,8.25,5.25,8.1,114.5,6.75,24.1,46
Selkirk,LABS 007 Epic,10.0,$307.43,12%,$270.54,Live,In Stock,123,Dual certified - USAP and UPA-A,2 year,Elongated,Gen-2,Thermoformed-edgeless,Grit,Carbon Fiber,Polypropylene Honeycomb & Titanium,"2,269",Good,16.45,7.5,5.35,7.7,104.4,5.88,23.5,76
Diadem,Warrior BluCore Pro 14mm,14.0,$287.26,34%,$189.59,Live,In Stock,73,USAP certified,6 months,Hybrid,Gen-4,Thermoformed,Peel Ply-Coarse,Kevlar & Carbon Fiber,Expanded polypropylene foam,1931,Fair,16.34,7.4,5.7,7.9,109.6,5.76,23.2,66
Neonic,Flare Titanium,16.0,$152.61,36%,$97.67,Obsolete,Extinct,0,USAP certified,6 months,Widebody,Gen-2,Thermoformed,Peel Ply-Coarse,Carbon Fiber & Titanium,Polypropylene Honeycomb,"2,204",Good,16.0,8.0,5.5,8.1,113.5,7.01,23.8,50
Chorus,Phoenix SX,16.0,$165.56,24%,$125.83,Live,In Stock,61,USAP certified,4 months,Widebody,Gen-2,Thermoformed,Peel Ply-Coarse,Soft carbon fiber,Wide cell polypropylene + foam,2115,Good,15.79,8.19,5.63,7.9,107.7,7.24,23.5,64
Selkirk,LABS Project Boomstik - Elongated,16.0,$301.88,19%,$244.52,Attrition,In Stock,68,USAP certified,Lifetime,Elongated,Gen-4,Thermoformed,Grit (Infinigrit),Carbon Fiber,Full-Foam (EPP with EVA border),"2,306",Elite,16.54,7.48,5.87,8.2,118.0,6.81,24.3,97
Honolulu Pickleball Co.,J3K,16.0,$176.73,5%,$167.89,Attrition,In Stock,36,USAP certified,1 year,Widebody,Gen-2,Thermoformed,Peel Ply-Coarse,Dupont Kevlar,Polypropylene Honeycomb,"1,959",Fair,16.0,8.0,6.0,8.2,115.9,7.23,23.9,55
Mark,OneXR2,16.0,$189.05,32%,$128.55,Live,In Stock,67,USAP certified,150 days,Hybrid,Gen-2,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Wide cell polypropylene,"2,276",Good,16.3,7.52,5.79,8.1,117.2,6.5,24.1,70
Six Zero,Coral-Elongated,16.0,$187.59,6%,$176.33,Obsolete,Extinct,0,USAP certified,1 year,Elongated,Gen-4,Thermoformed,Peel ply with diamond grit,Toray Carbon Fiber,Full-Foam (EPP with EVA border),"2,176",Good,16.38,7.52,5.75,8.0,112.1,6.03,23.8,74
Franklin,Carbon STK,14.5,$137.74,11%,$122.59,Attrition,In Stock,14,USAP certified,1 year,Elongated,Gen-1,Cold Pressed,Unknown,Carbon Fiber,Polypropylene Honeycomb,1251,Poor,16.5,7.5,4.25,7.6,118.0,5.76,24.6,18
Bread & Butter,Loco Standard,16.0,$182.01,17%,$151.07,Live,In Stock,47,USAP certified,6 months,Widebody,Gen-4,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Full-Foam (EPP with EVA border),2289,Good,15.91,7.99,5.43,8.0,108.7,7.29,23.6,84
